block_dim,cpu,cpu_omp,cuda,cuda_um
32,37.118,36.761,34.0931,20.7648
64,36.633,35.861,34.4411,20.5241
96,36.433,35.669,34.965,19.6734
128,36.552,36.078,33.916,20.565
160,36.459,36.221,33.9572,20.4622
192,36.302,35.98,34.3669,20.1413
224,36.455,36.363,34.4388,20.1801
256,36.7,35.817,34.0371,19.6253
288,36.837,36.012,33.9742,20.7718
320,36.366,36.069,34.0308,20.7256
352,36.383,36.126,34.3674,19.192
384,36.368,36.016,34.5157,19.0028
416,36.394,35.625,34.0262,19.8524
448,36.439,35.905,34.448,19.3366
480,36.443,35.933,33.9907,18.5867
512,36.478,36.032,34.0843,18.6262
544,36.209,35.606,34.0099,18.5008
576,36.852,36.078,33.8655,18.4837
608,36.553,35.929,33.9952,18.4044
640,36.505,36.204,34.0652,18.6595
672,33.008,35.966,33.9444,18.8835
704,36.349,36.134,34.0243,18.7065
736,36.304,36.145,33.8454,19.2922
768,36.284,35.776,33.9523,18.553
800,36.313,35.982,33.9229,19.6111
832,36.387,35.793,33.8347,20.2132
864,36.425,35.942,33.8196,19.9371
896,36.295,35.805,34.0416,19.2506
928,36.753,36.163,37.0736,19.7989
960,36.549,36.82,36.2384,19.9501
992,37.06,36.618,35.5841,19.3251
1024,36.129,35.829,34.0884,18.077
